Rank,Name,Symbol,marketcap,price (USD),country
1,DBS,DBSDF,69968297984,27.19,Singapore
2,Sea (Garena),SE,67218579456,120.52,Singapore
3,OCBC Bank,O39.SI,40190542920,8.95,Singapore
4,UOB,U11.SI,38971258016,23.31,Singapore
5,Singtel,SNGNF,31367860224,1.9,Singapore
6,Wilmar,WLMIF,21782740992,3.46,Singapore
7,Grab Holdings,GRAB,19827777536,5.3,Singapore
8,Singapore Airlines,SINGF,11585859584,3.81,Singapore
9,CapitaLand Mall Trust,C38U.SI,10419775464,1.58,Singapore
10,ST Engineering,SJX.F,8966044273,2.83,Singapore
11,Ascendas Reit,A17U.SI,8710661101,2.07,Singapore
12,Keppel,BN4.SI,7943797178,4.37,Singapore
13,Flex,FLEX,7592447488,16.36,Singapore
14,Singapore Exchange,SPXCF,7502625280,7.02,Singapore
15,Great Eastern,G07.SI,7406472962,15.65,Singapore
16,Genting Singapore,G13.SI,6913240793,0.57,Singapore
17,BOC Aviation,2588.HK,6572477078,9.47,Singapore
18,Jardine Singapore,C07.SI,6537369350,16.54,Singapore
19,Mapletree Logistics Trust,M44U.SI,6224777031,1.3,Singapore
20,Mapletree Industrial Trust,ME8U.SI,5046632316,1.9,Singapore
21,City Developments,C09.SI,4768601714,5.26,Singapore
22,Olam,O32.SI,4673838390,1.26,Singapore
23,Mapletree Commercial Trust,N2IU.SI,4498628558,1.35,Singapore
24,UOL Group,U14.SI,4439306189,5.26,Singapore
25,Frasers Logistics &amp; Industrial Trust,BUOU.SI,3870695782,1.05,Singapore
26,Suntec REIT,T82U.SI,3466541792,1.22,Singapore
27,SATS,S58.SI,3363136516,3,Singapore
28,Sembcorp,U96.SI,3283149998,1.84,Singapore
29,Keppel REIT,K71U.SI,3120594467,0.84,Singapore
30,Kulicke and Soffa Industries,KLIC,3118758144,50.06,Singapore
31,Kenon Holdings,KEN,2942876416,54.62,Singapore
32,NetLink Trust,CJLU.SI,2811321655,0.72,Singapore
33,Mapletree North Asia Commercial Trust,RW0U.SI,2781265595,0.79,Singapore
34,United Industrial Corporation,U06.SI,2727707764,1.9,Singapore
35,ComfortDelGro,C52.SI,2305105614,1.06,Singapore
36,HPH Trust,HCTPF,2291019520,0.26,Singapore
37,TDCX,TDCX,1912882176,13.39,Singapore
38,Yanlord,Z25.SI,1680742903,0.87,Singapore
39,Karooooo,KARO,1048004288,33.86,Singapore
40,Triterras,TRIT,136441280,1.64,Singapore
